Nom,Initial crawling,Adresse,Overview,Caractéristiques,Commentaire,Scraping,Ajouté par,,Cookie selector,Link selector,Content selector,Title selector,Date selector,Author selector,Page url complement,Number of pages,paginator formula,Content is well extracted ?
ADEME,,https://agirpourlatransition.ademe.fr/particuliers/changement-climatique,TRUE,,articles need to be downloaded (problem for scrapping ?),Login => Links => download button => PDF,Paul,,,,,,.a-info,,,,,
Ouest France,x,https://www.ouest-france.fr/environnement/rechauffement-climatique/,TRUE,"Daily newspaper, reliable","""global warming"" section",Links => HTML page (! video),Louis,TRUE,#didomi-notice-agree-button,,".su-article h1, .su-article p, article #article-detail p, article #article-detail h2",,".meta-time, .issue-date",.author_name,?page={},31,n,YES
IPCC,,https://www.ipcc.ch/languages-2/francais/publications/,TRUE,Source,articles need to be downloaded (problem for scrapping ?),Links => PDF,Louis,,,,,,,,,,,
Franceinfo,,https://www.francetvinfo.fr/meteo/climat/,TRUE,"News, reliable",mainly concerns the results of the climate change: may be not interesting,"Links => HTML page (! video, ? interesting)",Louis,,,,,,,,,,,
Meteo France,,http://www.meteofrance.fr/climat-passe-et-futur,TRUE,Reliable,,Links => links => HTML OR Links => HTML,Louis,,,,,,,,,,,
Jean Marc Jancovici,x,https://jancovici.com/category/changement-climatique/,TRUE,"Popularization, reliable",,Links => HTML,Louis,TRUE,,,article  .post-content,.title-h1,"time[itemprop=""dateModified""]",,,,,YES
Le web pédagogique,,https://lewebpedagogique.com/environnement/category/developpement-durable/climat/,MIXED,"Old (2010), signed by M.J. ?, 70% reliable",,Links => $(#post div),Louis,,,,,,,,,,,
L'Express,x,https://www.lexpress.fr/actualite/societe/environnement/liste.html,TRUE,"Daily newspaper, Op-ed, reliable","""environment"" section : may be too general",Links => HTML,Louis,TRUE,#didomi-notice-agree-button,,.article__text p,.article__title,.author__metas time:last-of-type,.author__name a,?p={},90,n,"YES
"
Paris innovation review,,http://parisinnovationreview.com/tagsfr/changement-climatique,TRUE,"scientific review, reliable ++",authors are often members of the IPCC,Links => HTML,Paul,,,a.article-category,,,.classdate:last-child,.author-name-article,,,,
Proposition Grand débat national,,https://granddebat.fr/project/la-transition-ecologique/collect/participez-a-la-recherche-collective-de-solutions-1,MIXED,"a lot of non scientific, incorrect opinions, even sometimes frankly climatosceptic",Doesn't really take the form of an article ,/,Paul,,,,,,,,,,,
Le Monde,,https://www.lemonde.fr/recherche/?search_keywords=changement+climatique&start_at=19%2F12%2F1944&end_at=31%2F08%2F2021&search_sort=relevance_desc,TRUE,"Daily newspaper, reliable, op-ed","""climate"" section : may be too general + a lot of charged articles",Login (charged) => Links => HTML,Louis,,,,,,,,,,,
Egalité & Réconciliation,x,http://egaliteetreconciliation.fr/+-Climat-+.html,FALSE,"Press review, Conspiracy","Alain Soral website, collection of press reviews of articles from other media",Links => HTML,Louis,FALSE,,h4 a,.entry-content p,.entry-title,.published,,?debut_artg{},16,20*(n-1),only first page scrapped 
SOTT,,https://fr.sott.net/topic/13-Temperatures-extremes,FALSE,"News, close to conspiracy, climatosceptism","they clearly refuse the term ""climate change""","Search bar, type ""climat"" => Links => HTML",Louis,,,,,,,,,,,
Réseau Voltaire,x,https://www.voltairenet.org/mot120101.html?lang=fr,FALSE,"News, close to conspiracy, climatosceptism","refuse the term ""climate change"", they use ""environment questions"", close to E&R",Links => HTML,Louis,FALSE,,div.one-mot a,"div.article-chapo, #article-text .article-text-images",,.updated time,.fn,&debut_articles={},4,15*(n-1),YES
Jacques Henry,,https://jacqueshenry.wordpress.com/category/crise-climatique/,FALSE,Climatosceptism,"refuse the term ""climate change"" ",$(#content article),Louis,,,,,,,,,,,
Réseau International,x,https://reseauinternational.net/category/articles/idees-societe/ecologie/,FALSE,"Climatosceptism, conspiracy",Collection of op-ed imported from other media (ex: jacques Henry),Links => HTML,Louis,FALSE,.qc-cmp2-summary-buttons:last-child,".module-blog-wrap a[rel=""bookmark""]",.post-content-wrap  p,,".date, .updated",.author,page/{}/,19,n,YES (but source at the end)
